Name,url
Lionel Messi FIFA 12,/player/158023/lionel-messi/fifa12/
Cristiano Ronaldo FIFA 12,/player/20801/cristiano-ronaldo/fifa12/
Xavi FIFA 12,/player/10535/xavi/fifa12/
Iniesta FIFA 12,/player/41/iniesta/fifa12/
Wayne Rooney FIFA 12,/player/54050/wayne-rooney/fifa12/
Cesc Fàbregas FIFA 12,/player/162895/cesc-f%C3%A0bregas/fifa12/
Franck Ribéry FIFA 12,/player/156616/franck-rib%C3%A9ry/fifa12/
Nemanja Vidić FIFA 12,/player/140601/nemanja-vidi%C4%87/fifa12/
Arjen Robben FIFA 12,/player/9014/arjen-robben/fifa12/
Casillas FIFA 12,/player/5479/casillas/fifa12/
David Silva FIFA 12,/player/168542/david-silva/fifa12/
Piqué FIFA 12,/player/152729/piqu%C3%A9/fifa12/
Zlatan Ibrahimović FIFA 12,/player/41236/zlatan-ibrahimovi%C4%87/fifa12/
Robin van Persie FIFA 12,/player/7826/robin-van-persie/fifa12/
Manuel Neuer FIFA 12,/player/167495/manuel-neuer/fifa12/
Thiago Silva FIFA 12,/player/164240/thiago-silva/fifa12/
Sergio Ramos FIFA 12,/player/155862/sergio-ramos/fifa12/
Sergio Agüero FIFA 12,/player/153079/sergio-ag%C3%BCero/fifa12/
Wesley Sneijder FIFA 12,/player/139869/wesley-sneijder/fifa12/
Bastian Schweinsteiger FIFA 12,/player/121944/bastian-schweinsteiger/fifa12/
Philipp Lahm FIFA 12,/player/121939/philipp-lahm/fifa12/
David Villa FIFA 12,/player/113422/david-villa/fifa12/
Samuel Eto'o FIFA 12,/player/9676/samuel-etoo/fifa12/
Edinson Cavani FIFA 12,/player/179813/edinson-cavani/fifa12/
Mata FIFA 12,/player/178088/mata/fifa12/
Luka Modrić FIFA 12,/player/177003/luka-modri%C4%87/fifa12/
Mesut Özil FIFA 12,/player/176635/mesut-%C3%B6zil/fifa12/
Luis Suárez FIFA 12,/player/176580/luis-su%C3%A1rez/fifa12/
Hugo Lloris FIFA 12,/player/167948/hugo-lloris/fifa12/
Karim Benzema FIFA 12,/player/165153/karim-benzema/fifa12/
Mario Gomez FIFA 12,/player/150418/mario-gomez/fifa12/
Dani Alves FIFA 12,/player/146530/dani-alves/fifa12/
Carlos Tévez FIFA 12,/player/143001/carlos-t%C3%A9vez/fifa12/
Nani FIFA 12,/player/139068/nani/fifa12/
Antonio Di Natale FIFA 12,/player/120274/antonio-di-natale/fifa12/
Rafael van der Vaart FIFA 12,/player/45574/rafael-van-der-vaart/fifa12/
Xabi Alonso FIFA 12,/player/45197/xabi-alonso/fifa12/
Didier Drogba FIFA 12,/player/31432/didier-drogba/fifa12/
Steven Gerrard FIFA 12,/player/13743/steven-gerrard/fifa12/
Puyol FIFA 12,/player/13038/puyol/fifa12/
Gianluigi Buffon FIFA 12,/player/1179/gianluigi-buffon/fifa12/
Neymar FIFA 12,/player/190871/neymar/fifa12/
Sergio Busquets FIFA 12,/player/189511/sergio-busquets/fifa12/
Alexis Sánchez FIFA 12,/player/184941/alexis-s%C3%A1nchez/fifa12/
Ángel Di María FIFA 12,/player/183898/%C3%A1ngel-di-mar%C3%ADa/fifa12/
Eden Hazard FIFA 12,/player/183277/eden-hazard/fifa12/
Gareth Bale FIFA 12,/player/173731/gareth-bale/fifa12/
Gonzalo Higuaín FIFA 12,/player/167664/gonzalo-higua%C3%ADn/fifa12/
Falcao FIFA 12,/player/167397/falcao/fifa12/
Samir Nasri FIFA 12,/player/165239/samir-nasri/fifa12/
Ezequiel Lavezzi FIFA 12,/player/159065/ezequiel-lavezzi/fifa12/
Javier Mascherano FIFA 12,/player/142754/javier-mascherano/fifa12/
Vincent Kompany FIFA 12,/player/139720/vincent-kompany/fifa12/
Kaká FIFA 12,/player/138449/kak%C3%A1/fifa12/
Maicon FIFA 12,/player/135455/maicon/fifa12/
Pepe FIFA 12,/player/120533/pepe/fifa12/
Victor Valdés FIFA 12,/player/106573/victor-vald%C3%A9s/fifa12/
Júlio César FIFA 12,/player/48717/j%C3%BAlio-c%C3%A9sar/fifa12/
Ashley Cole FIFA 12,/player/34079/ashley-cole/fifa12/
Pepe Reina FIFA 12,/player/24630/pepe-reina/fifa12/
Yaya Touré FIFA 12,/player/20289/yaya-tour%C3%A9/fifa12/
John Terry FIFA 12,/player/13732/john-terry/fifa12/
Andrea Pirlo FIFA 12,/player/7763/andrea-pirlo/fifa12/
Mario Götze FIFA 12,/player/192318/mario-g%C3%B6tze/fifa12/
Pedro FIFA 12,/player/189505/pedro/fifa12/
Hulk FIFA 12,/player/189362/hulk/fifa12/
Hernanes FIFA 12,/player/180432/hernanes/fifa12/
Alexandre Pato FIFA 12,/player/180175/alexandre-pato/fifa12/
Mats Hummels FIFA 12,/player/178603/mats-hummels/fifa12/
Marek Hamšik FIFA 12,/player/171877/marek-ham%C5%A1ik/fifa12/
Steve Mandanda FIFA 12,/player/163705/steve-mandanda/fifa12/
Giuseppe Rossi FIFA 12,/player/162409/giuseppe-rossi/fifa12/
Jefferson Farfán FIFA 12,/player/158133/jefferson-farf%C3%A1n/fifa12/
Klaas-Jan Huntelaar FIFA 12,/player/148803/klaas-jan-huntelaar/fifa12/
Igor Akinfeev FIFA 12,/player/148119/igor-akinfeev/fifa12/
Soldado FIFA 12,/player/146758/soldado/fifa12/
Nenê FIFA 12,/player/146692/nen%C3%AA/fifa12/
Santi Cazorla FIFA 12,/player/146562/santi-cazorla/fifa12/
Jesús Navas FIFA 12,/player/146536/jes%C3%BAs-navas/fifa12/
Michel Bastos FIFA 12,/player/139843/michel-bastos/fifa12/
Esteban Cambiasso FIFA 12,/player/138123/esteban-cambiasso/fifa12/
Giampaolo Pazzini FIFA 12,/player/137361/giampaolo-pazzini/fifa12/
Robinho FIFA 12,/player/136144/robinho/fifa12/
Lúcio FIFA 12,/player/107715/l%C3%BAcio/fifa12/
Daniele De Rossi FIFA 12,/player/53302/daniele-de-rossi/fifa12/
Patrice Evra FIFA 12,/player/52091/patrice-evra/fifa12/
Fernando Torres FIFA 12,/player/49369/fernando-torres/fifa12/
Petr Čech FIFA 12,/player/48940/petr-%C4%8Dech/fifa12/
Ronaldinho FIFA 12,/player/28130/ronaldinho/fifa12/
Claudio Pizarro FIFA 12,/player/25420/claudio-pizarro/fifa12/
Walter Samuel FIFA 12,/player/23461/walter-samuel/fifa12/
Danny FIFA 12,/player/20800/danny/fifa12/
Antonio Cassano FIFA 12,/player/7631/antonio-cassano/fifa12/
