player_id,player_name,birthday,height,weight,real_pos
505942,Aaron Appindangoye,2/29/92 0:00,182.88,187,RCB
155782,Aaron Cresswell,12/15/89 0:00,170.18,146,LB
162549,Aaron Doran,5/13/91 0:00,170.18,163,RM
30572,Aaron Galindo,5/8/82 0:00,182.88,198,
23780,Aaron Hughes,11/8/79 0:00,182.88,154,LCB
27316,Aaron Hunt,9/4/86 0:00,182.88,161,CAM
564793,Aaron Kuhl,1/30/96 0:00,172.72,146,CDM
30895,Aaron Lennon,4/16/87 0:00,165.1,139,RM
528212,Aaron Lennox,2/19/93 0:00,190.5,181,GK
101042,Aaron Meijers,10/28/87 0:00,175.26,170,LB
23889,Aaron Mokoena,11/25/80 0:00,182.88,181,CDM
231592,Aaron Mooy,9/15/90 0:00,175.26,150,LCM
163222,Aaron Muirhead,8/30/90 0:00,187.96,168,CB
40719,Aaron Niguez,4/26/89 0:00,170.18,143,
75489,Aaron Ramsey,12/26/90 0:00,177.8,154,CM
597948,Aaron Splaine,10/13/96 0:00,172.72,163,LM
161644,Aaron Taylor-Sinclair,4/8/91 0:00,182.88,176,LB
23499,Aaron Wilbraham,10/21/79 0:00,190.5,159,RS
120919,Aatif Chahechouhe,7/2/86 0:00,175.26,150,CAM
46447,Abasse Ba,7/12/76 0:00,187.96,185,RCB
167027,Abdelaziz Barrada,6/19/89 0:00,177.8,161,CAM
245653,Abdelfettah Boukhriss,10/22/86 0:00,185.42,161,
128456,Abdelhamid El Kaoutari,3/17/90 0:00,180.34,161,LCB
42664,Abdelkader Ghezzal,12/5/84 0:00,182.88,172,CF
425950,Abdellah Zoubir,12/5/91 0:00,180.34,161,CAM
38423,Abdelmajid Oulmers,9/12/78 0:00,172.72,143,LCM
3264,Abdelmalek Cherrad,1/14/81 0:00,185.42,165,RS
467485,Abdelmalek El Hasnaoui,2/9/94 0:00,180.34,159,
306735,Abdelouahed Chakhsi,10/1/86 0:00,182.88,170,
41659,Abderrazak Jadid,6/1/83 0:00,177.8,157,
31684,Abdeslam Ouaddou,11/1/78 0:00,190.5,181,CB
32637,Abdessalam Benjelloun,1/28/85 0:00,187.96,179,LS
563215,Abdou Diallo,5/4/96 0:00,182.88,159,LCB
41093,Abdou Traore,1/17/88 0:00,180.34,174,
564712,Abdoul Ba,2/8/94 0:00,200.66,212,LCB
67334,Abdoul Karim Yoda,10/25/88 0:00,182.88,161,RM
173955,Abdoul Razzagui Camara,2/20/90 0:00,177.8,157,ST
39562,Abdoulay Konko,3/9/84 0:00,182.88,157,LB
191784,Abdoulaye Ba,1/1/91 0:00,198.12,174,CB
210400,Abdoulaye Bamba,4/25/90 0:00,182.88,150,RB
201915,Abdoulaye Diaby,5/21/91 0:00,172.72,154,
194479,"Abdoulaye Diallo Sadio,22",12/28/90 0:00,182.88,168,
189181,Abdoulaye Diallo,3/30/92 0:00,187.96,174,GK
352887,Abdoulaye Doucoure,1/1/93 0:00,182.88,165,
40005,Abdoulaye Faye,2/26/78 0:00,187.96,218,CB
409003,Abdoulaye Keita,1/5/94 0:00,175.26,165,CM
37280,Abdoulaye Meite,10/6/80 0:00,185.42,181,
439366,Abdoulaye Toure,3/3/94 0:00,187.96,170,
148827,Abdoulwahid Sissoko,3/20/90 0:00,182.88,165,
173011,Abdourahman Dampha,12/27/91 0:00,182.88,168,
419681,Abdul Aziz Tetteh,2/10/89 0:00,182.88,190,CDM
196947,Abdul Majeed Waris,9/19/91 0:00,172.72,157,ST
89405,Abdul Osman,2/27/87 0:00,182.88,154,LDM
324910,Abdul Rahman Baba,7/2/94 0:00,177.8,154,LB
67952,Abdul-Yakinu Iddi,5/25/86 0:00,172.72,146,
31012,Abdulkader Keita,8/6/81 0:00,182.88,172,RWM
176301,Abdulla Fatadi,11/2/85 0:00,175.26,172,CAM
307227,Abdullah Al Hafith,12/25/92 0:00,187.96,165,LCB
176302,Abdullah Omar,1/1/87 0:00,175.26,157,RB
525595,Abdullahi Shehu,3/12/93 0:00,180.34,159,LCM
24385,Abel Aguilar,1/6/85 0:00,185.42,176,LDM
29904,Abel Gomez,2/20/82 0:00,182.88,165,
105548,Abel Hernandez,8/8/90 0:00,185.42,161,
172875,Abel Issa Camara,1/6/90 0:00,185.42,179,
302985,Abel Khaled,11/9/92 0:00,180.34,148,RW
240556,Abel Tamata,12/5/90 0:00,182.88,170,LB
